,일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출,회원가입,구매
45658구글GGL_CMP_01_플러스가입논타겟VID_플러스멤버십_겨울_A_v1,2025.1.1,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,74501,1464,372882,142,43,2692197,102,33
45658구글GGL_CMP_01_플러스가입논타겟IMG_플러스멤버십_겨울_B_v1,2025.1.1,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,57143,1576,254765,151,44,2595379,125,37
45658구글GGL_CMP_01_플러스가입논타겟CRS_플러스멤버십_겨울_v1,2025.1.1,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,81365,2503,418912,232,79,4207251,167,68
45658구글GGL_CMP_01_플러스가입논타겟IMG_적립혜택_겨울_v2,2025.1.1,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,81419,2547,454294,382,95,5622206,319,82
45658구글GGL_CMP_01_플러스가입유사타겟VID_플러스멤버십_겨울_A_v1,2025.1.1,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,77188,1544,378327,157,31,1562454,119,25
45658구글GGL_CMP_01_플러스가입유사타겟IMG_플러스멤버십_겨울_B_v1,2025.1.1,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,63394,1439,316168,212,62,3766568,182,44
45658구글GGL_CMP_01_플러스가입유사타겟CRS_플러스멤버십_겨울_v1,2025.1.1,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,88942,2651,500324,344,111,7252739,243,83
45658구글GGL_CMP_01_플러스가입유사타겟IMG_적립혜택_겨울_v2,2025.1.1,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,56828,1978,359608,205,60,3292792,164,44
45658구글GGL_CMP_02_리타겟팅리마케팅VID_할인쿠폰_겨울_A_v1,2025.1.1,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,42768,1283,243183,171,72,3602255,138,50
45658구글GGL_CMP_02_리타겟팅리마케팅IMG_할인쿠폰_겨울_B_v1,2025.1.1,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,31588,1190,194032,122,40,2179781,99,35
45658구글GGL_CMP_02_리타겟팅리마케팅CRS_특가_겨울_v1,2025.1.1,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,29159,1155,172031,127,49,3019696,101,38
45658구글GGL_CMP_03_첫구매논타겟VID_적립혜택_겨울_A_v1,2025.1.1,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,84253,1807,463500,131,63,4708190,110,51
